song_id,title_original,title_ko,vocal_engines,main_link,lyrics_file,mood_tags,joy,sadness,dreamy,tension,dark,energy,cute,chaotic,producers
s0001,オーバー！,오버!,"하츠네 미쿠(初音ミク),카아이 유키(歌愛ユキ)",https://youtu.be/_ZKSftirY3A?si=UE_klQDSAoWUInZP,s0001.txt,"dreamy,cute,chaotic,hopeful",95,50,100,70,55,95,90,85,Iyowa
s0002,たぶん終わり,아마도 끝,"하츠네 미쿠(初音ミク),v flower",https://youtu.be/GiDo4s1x9Mw?si=rr2oR3Jd7zRtMbXH,s0002.txt,"dreamy,lonely,nostalgic,mysterious",50,100,100,65,95,25,50,60,Iyowa
s0003,あだぽしゃ,애디포시어,하츠네 미쿠(初音ミク),https://youtu.be/Wr-2xcQkke4?si=6OD9ntelmHyA_83j,s0003.txt,"dreamy,dark,chaotic,despair",20,100,95,95,100,65,50,100,Iyowa
s0004,きゅうくらりん,두근 어질,카후(可不),https://youtu.be/2b1IexhKPz4?si=nD-pQOwKxTMXBfyn,s0004.txt,"dreamy,cute,chaotic,mysterious,despair",45,95,100,100,100,75,85,100,Iyowa
s0005,つづみぐさ,민들레,하츠네 미쿠(初音ミク),https://youtu.be/FpoZKD_nqbc?si=DjxvvwT0jlhWqJbK,s0005.txt,"dreamy,chaotic,nostalgic,mysterious",50,80,100,85,90,60,50,95,Iyowa
s0006,熱異常,열이상,"하츠네 미쿠(初音ミク),아다치 레이(足立レイ)",https://youtu.be/b2NTglk9tvI?si=Gr7I3zsZYKD4aQPp,s0006.txt,"sad,dreamy,chaotic,horror,despair",10,100,100,100,100,60,50,100,Iyowa
s0007,バベル,바벨,카사네 테토(重音テト),https://youtu.be/zSKwxQqrac0?si=hAYTKyIuxjY2aGK3,s0007.txt,"dreamy,cute,nostalgic,hopeful",100,70,100,50,50,60,90,50,Iyowa
s0008,ももいろの鍵,복숭아색 열쇠,하츠네 미쿠(初音ミク),https://youtu.be/sAUdWpemfGw?si=PLUJ4IUCtuCd6owO,s0008.txt,"dreamy,mysterious,hopeful",70,55,100,65,65,60,55,60,Iyowa
s0009,SLIP,슬립,GUMI,https://youtu.be/B62fBqw2gDM?si=Ke183cUY7QtpDn6b,s0009.txt,"sad,dreamy,lonely,nostalgic",55,100,100,50,85,15,50,50,Iyowa
s0010,散歩の邪魔,산책의 방해,카스카베 츠무기(春日部つむぎ),https://youtu.be/ctAMLdnQUfI?si=Ctsc4tM4V-KiIji9,s0010.txt,"happy,cute,funny",100,30,55,50,30,100,100,70,Iyowa
s0011,SHIAWASE FOR YOU!,시아와세 포 유,하츠네 미쿠(初音ミク),https://youtu.be/D7-lYDOpA50?si=yRxZEFQ9iRcvqKTQ,s0011.txt,"happy,cute,energetic",100,35,55,60,40,100,95,60,Iyowa
s0012,メルト・アイスクリーム,멜트 아이스크림,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/aDA1B_We5w8?si=uOaxjolQYL4l2Y_h,s0012.txt,"dreamy,chaotic,horror",30,65,95,100,100,75,50,100,TRAP CHICK
s0013,処刑拍手,처형박수,카사네 테토(重音テト),https://youtu.be/YcxhmHEykPg?si=mluvXG1GC-au6ZuO,s0013.txt,"dark,angry,horror",15,85,65,100,100,90,50,100,TRAP CHICK
s0014,承認してください、ジーニーさん！,승인해주세요 지니님!,"카사네 테토(重音テト),오토마치 우나(音街ウナ)",https://youtu.be/XKZIQlqVjjk?si=QJAC3kNYZRQ3EcSy,s0014.txt,"cute,energetic,fast",85,40,55,70,50,100,85,70,TRAP CHICK
s0015,mochimochi,모찌모찌,하츠네 미쿠(初音ミク),https://youtu.be/tQM8pfwmcU0?si=6muw7YQciQsSYSXV,s0015.txt,"happy,cute,energetic",100,35,55,60,40,100,95,60,TAK
s0016,LEMON MELON COOKIE,레몬 멜론 쿠키,하츠네 미쿠(初音ミク),https://youtu.be/5l8VZEyNRH8?si=Qzb9uMxBN6fBhtKd,s0016.txt,"happy,cute,energetic,electronic",100,35,70,70,40,100,95,70,TAK
s0017,PPPP,PPPP,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/8Cm-7oCq9HA?si=MEyDoWowh4W2diPy,s0017.txt,"cute,funny,fast",100,35,55,60,40,100,100,80,TAK
s0018,MTMTM,MTMTM,하츠네 미쿠(初音ミク),https://youtu.be/pIuQ_us5W4Y?si=v9-5O8zcPp1-lpty,s0018.txt,"happy,cute,chaotic,horror",80,50,65,100,90,100,95,100,TAK
s0019,numb numb,numb numb,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/ba7YbGO2aq4?si=-oNvcQ_TDlzjw3I9,s0019.txt,"dreamy,calm,romantic,electronic",85,70,100,45,55,45,60,50,TAK
