song_id,title_original,title_ko,producers,vocal_engines,main_link,lyrics_file,mood_tags,joy,sadness,dreamy,tension,dark,energy,cute,chaotic
s0001,オーバー！,오버!,Iyowa,"하츠네 미쿠(初音ミク),카아이 유키(歌愛ユキ)",https://youtu.be/_ZKSftirY3A?si=UE_klQDSAoWUInZP,s0001.txt,"dreamy,cute,chaotic,hopeful",95,50,100,70,55,95,90,85
s0002,たぶん終わり,아마도 끝,Iyowa,"하츠네 미쿠(初音ミク),v flower",https://youtu.be/GiDo4s1x9Mw?si=rr2oR3Jd7zRtMbXH,s0002.txt,"dreamy,lonely,nostalgic,mysterious",50,100,100,65,95,25,50,60
s0003,あだぽしゃ,애디포시어,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/Wr-2xcQkke4?si=6OD9ntelmHyA_83j,s0003.txt,"dreamy,dark,chaotic,despair",20,100,95,95,100,65,50,100
s0004,きゅうくらりん,두근 어질,Iyowa,카후(可不),https://youtu.be/2b1IexhKPz4?si=nD-pQOwKxTMXBfyn,s0004.txt,"dreamy,cute,chaotic,mysterious,despair",45,95,100,100,100,75,85,100
s0005,つづみぐさ,민들레,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/FpoZKD_nqbc?si=DjxvvwT0jlhWqJbK,s0005.txt,"dreamy,chaotic,nostalgic,mysterious",50,80,100,85,90,60,50,95
s0006,熱異常,열이상,Iyowa,"하츠네 미쿠(初音ミク),아다치 레이(足立レイ)",https://youtu.be/b2NTglk9tvI?si=Gr7I3zsZYKD4aQPp,s0006.txt,"sad,dreamy,chaotic,horror,despair",10,100,100,100,100,60,50,100
s0007,バベル,바벨,Iyowa,카사네 테토(重音テト),https://youtu.be/zSKwxQqrac0?si=hAYTKyIuxjY2aGK3,s0007.txt,"dreamy,cute,nostalgic,hopeful",100,70,100,50,50,60,90,50
s0008,ももいろの鍵,복숭아색 열쇠,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/sAUdWpemfGw?si=PLUJ4IUCtuCd6owO,s0008.txt,"dreamy,mysterious,hopeful",70,55,100,65,65,60,55,60
s0009,SLIP,슬립,Iyowa,GUMI,https://youtu.be/B62fBqw2gDM?si=Ke183cUY7QtpDn6b,s0009.txt,"sad,dreamy,lonely,nostalgic",55,100,100,50,85,15,50,50
s0010,散歩の邪魔,산책의 방해,Iyowa,카스카베 츠무기(春日部つむぎ),https://youtu.be/ctAMLdnQUfI?si=Ctsc4tM4V-KiIji9,s0010.txt,"happy,cute,funny",100,30,55,50,30,100,100,70
s0011,SHIAWASE FOR YOU!,시아와세 포 유,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/D7-lYDOpA50?si=yRxZEFQ9iRcvqKTQ,s0011.txt,"happy,cute,energetic",100,35,55,60,40,100,95,60
s0012,メルト・アイスクリーム,멜트 아이스크림,TRAP CHICK,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/aDA1B_We5w8?si=uOaxjolQYL4l2Y_h,s0012.txt,"dreamy,chaotic,horror",30,65,95,100,100,75,50,100
