tag,joy,sadness,dreamy,tension,dark,energy,cute,chaotic
happy,30,-10,0,0,-10,20,10,0
sad,0,30,5,0,10,-10,0,0
dreamy,0,5,35,0,5,-5,0,0
dark,-10,15,5,10,35,0,0,10
cute,20,0,5,0,0,10,35,0
energetic,10,-5,0,10,0,35,0,10
calm,5,5,20,-15,0,-20,0,-10
angry,-5,10,0,30,20,35,0,25
lonely,0,25,15,0,15,-10,0,0
chaotic,0,0,0,20,10,25,0,35
nostalgic,5,20,20,0,5,-10,0,0
funny,30,-10,0,0,-10,20,15,20
romantic,20,10,15,0,0,0,10,0
horror,-20,10,10,30,40,5,0,20
mysterious,-5,5,25,15,20,0,0,10
hopeful,25,-5,10,0,-10,15,5,0
despair,-20,35,5,15,35,-5,0,10
fast,5,-5,0,10,0,30,0,10
slow,0,10,15,-10,5,-25,0,-10
electronic,10,0,15,10,0,20,0,10
rock,0,5,0,15,10,25,0,10
ballad,5,20,10,-10,0,-20,0,-10
